ALL SCPP DATA FOR 1986 (fall) AND 1987 (January)

Beginning 861218 @ 10:25, the higher magnification on the sterio microscope was used to
image the ice particles (i.e. this data set).  Prior to that date, lower magnification 
was used and the data quality is inferior.  See Mitchell et al. (1990, JAM).

Note: Confidence rating refers to snow type. From most to least confident => 1, 2, 3. 
"0" means not applicable.

Temperature of origin refers to the midpoint temperature of the habit regime the ice particle
corresponds to.  Temperature uncertainty indicates the extent of the habit regime (i.e. the
midpoint minus temp. uncertainty to the mean plus temp. uncertainty).

For ice particle shape classification, R- indicates ice particle is rimed; -A means the ice
particle is an aggregate with possibly other less dominant habits present; -F means the ice
particle is an ice crystal fragment; -FA means the ice particle is an aggregate consisting
largely of crystal fragments.  For habit classifications, see Magono and Lee scheme in 
Pruppacher and Klett.

X and Y refer to coordinates on a grid superimposed on a projector screen and were used 
to locate the particle image on a slide.


Date   Time    X     Y      Image  Image  Actual Actual  Mass    Temp.   Temp. Snow  Confidence
                            ice    drop   ice    drop            of    uncert. type  rating
                            length length length length          origin
                            (cm)   (cm)   (mm)   (mm)    (mg)   (deg. C)  (C)

861218 1230  52.00  39.00   8.30   5.20    .78    .49  .307E-01  -15.00   5.00 R3B-FA   1 
861218 1230  78.00  40.00   5.40   3.00    .51    .28  .590E-02  -15.00   5.00 R3B-FA   2 
861218 1230  80.00  30.00  18.30   5.40   1.72    .51  .344E-01  -15.00   5.00 R3B-FA   2 
861218 1230  88.00  36.00   8.20   5.60    .77    .53  .384E-01   -7.00   1.00 R-N1E    2 
861218 1230  95.00  28.00   7.90   4.30    .74    .40  .174E-01  -15.00   5.00 R3B-F    3 
861218 1230  56.00  61.00   7.60   5.60    .72    .53  .384E-01  -15.00   5.00 R3B      1 
861218 1230  58.00  51.00   3.60   2.10    .34    .20  .202E-02   -7.00   1.00 R-N2C    3 
861218 1230  93.00  48.00   6.60   3.00    .62    .28  .590E-02  -15.00   5.00 R3B-F    3 
861218 1240  65.00  15.00  15.50   7.20   1.46    .68  .816E-01  -15.00   5.00 R3B-FA   2 
861218 1240  67.00  10.00   5.30   4.00    .50    .38  .140E-01  -15.00   5.00 R-P7A    2 
861218 1240  97.00  29.00   4.20   3.20    .40    .30  .716E-02  999.00 999.00 I4       0 
861218 1240  60.00  51.00   4.20   3.30    .40    .31  .785E-02  -15.00   5.00 R3B-F    2 
861222 1345   4.00  11.00  19.60   4.75   1.85    .45  .234E-01   -7.00   1.00 R-N1E    1 
861222 1345  11.00  10.00   6.00   5.20    .56    .49  .307E-01  999.00 999.00 R4B      2 
861222 1345  40.00    .00   7.70   4.25    .73    .40  .168E-01   -7.00   1.00 R-N2C    2 
861222 1345  57.00   8.00   5.10   2.50    .48    .24  .341E-02  -15.00   5.00 R3B-F    2 
861222 1345  59.00  18.00  13.00   7.00   1.22    .66  .750E-01  -15.00   5.00 R3B-FA   1 
861222 1345  66.00  11.00   3.50   2.00    .33    .19  .175E-02  -15.00   5.00 R3B-F    3 
861222 1345  77.00   2.00   6.70   3.15    .63    .30  .683E-02   -7.00   1.00 R-N1E    1 
861222 1345  89.00   2.00   8.00   2.55    .75    .24  .362E-02   -7.00   1.00 R-N2C    2 
861222 1345  83.00  13.00  13.20   6.30   1.24    .59  .546E-01  -15.00   3.50 R-P7A-FA 2 
